"","StateAbbr","age","votereg","askvote","vote_method","party_ID"
"1","OH",57,1,5,2,2
"2","OH",24,1,5,3,1
"3","OH",50,1,5,1,2
"4","OH",59,1,NA,NA,2
"5","OH",35,1,5,1,2
"6","OH",41,1,5,1,2
"7","OH",45,1,5,1,1
"8","OH",61,1,5,1,3
"9","OH",57,1,5,2,2
"10","OH",52,1,NA,NA,2
"11","OH",53,1,5,1,2
"12","OH",53,1,5,1,1
"13","OH",83,1,5,1,3
"14","OH",61,1,5,3,2
"15","OH",60,1,5,1,1
"16","OH",45,2,NA,NA,NA
"17","OH",41,1,5,1,1
"18","OH",30,1,5,3,2
"19","OH",77,1,5,3,2
"20","OH",73,1,5,3,2
"21","OH",75,1,5,3,3
"22","OH",61,1,5,1,1
"23","OH",35,1,5,1,2
"24","OH",79,1,5,2,3
"25","OH",68,1,5,2,2
"26","OH",73,1,5,3,1
"27","OH",58,1,5,3,1
"28","OH",70,1,5,1,2
"29","OH",67,1,5,3,1
"30","OH",59,1,4,1,1
"31","OH",59,1,5,1,1
"32","OH",69,1,5,1,2
"33","OH",75,1,5,1,1
"34","OH",75,1,3,NA,1
"35","OH",70,1,5,1,3
"36","OH",69,1,5,3,1
"37","OH",54,1,NA,NA,3
"38","OH",68,1,5,3,3
"39","OH",59,1,5,3,2
"40","OH",77,1,5,3,2
"41","OH",92,1,5,1,3
"42","OH",79,1,5,3,2
"43","OH",59,1,5,2,1
"44","OH",54,1,5,1,2
"45","OH",74,1,5,1,3
"46","OH",54,1,5,2,1
"47","OH",56,1,5,1,1
"48","OH",67,1,5,3,1
"49","OH",67,1,5,1,3
"50","OH",65,1,5,1,2
"51","OH",93,1,5,3,3
"52","OH",74,1,5,1,3
"53","OH",58,1,NA,NA,1
"54","OH",72,1,5,1,3
"55","OH",59,1,5,3,3
"56","OH",64,1,5,3,1
"57","OH",68,1,5,3,1
"58","OH",76,1,5,1,2
"59","OH",71,1,5,3,2
"60","OH",51,1,5,1,3
"61","OH",72,1,5,3,2
"62","OH",82,1,5,2,3
"63","OH",77,1,5,1,3
"64","OH",58,1,5,3,2
"65","OH",81,1,5,1,1
"66","OH",71,1,5,3,3
"67","OH",69,1,5,3,2
"68","OH",61,1,5,1,2
"69","OH",59,1,5,2,2
"70","OH",46,1,4,NA,2
"71","OH",71,1,5,1,2
"72","OH",67,1,5,1,2
"73","OH",92,1,5,2,3
"74","OH",57,1,NA,NA,1
"75","OH",78,1,5,3,3
"76","OH",60,1,5,3,3
"77","OH",63,1,5,1,1
"78","OH",80,1,5,3,1
"79","OH",65,1,5,1,1
"80","OH",66,1,5,1,3
"81","OH",58,1,4,4,1
"82","OH",74,1,5,1,3
"83","OH",24,1,5,3,2
"84","OH",73,1,5,1,3
"85","OH",53,1,5,1,2
"86","OH",49,1,5,1,3
"87","OH",74,3,1,NA,NA
"88","OH",76,1,5,3,3
"89","OH",82,1,5,1,3
"90","OH",65,1,NA,NA,NA
"91","OH",79,1,5,3,2
"92","OH",86,1,5,1,3
"93","OH",60,1,NA,NA,1
"94","OH",55,1,5,1,1
"95","OH",79,1,5,1,3
"96","OH",85,1,5,3,3
"97","OH",45,1,5,1,2
"98","OH",70,1,5,2,2
"99","OH",61,1,5,1,3
"100","OH",75,1,5,2,2
"101","OH",70,1,5,3,1
"102","OH",73,1,5,1,1
"103","OH",48,1,5,2,1
"104","OH",71,1,5,3,3
"105","OH",64,1,5,1,2
"106","OH",84,1,5,2,NA
"107","OH",75,1,5,1,3
"108","OH",72,1,5,2,1
"109","OH",75,1,NA,NA,3
"110","OH",85,1,5,1,3
"111","OH",82,1,5,3,3
"112","OH",55,1,5,1,2
"113","OH",76,1,5,3,3
"114","OH",77,1,5,1,3
"115","OH",49,1,5,1,3
"116","OH",44,1,5,1,3
"117","OH",71,1,5,3,3
"118","OH",73,1,5,1,2
"119","OH",54,1,5,4,1
"120","OH",45,1,5,1,3
"121","OH",67,1,5,3,1
"122","OH",27,1,5,1,2
"123","OH",71,1,5,3,3
"124","OH",53,1,5,3,2
"125","OH",57,1,5,2,3
"126","OH",40,1,5,1,3
"127","OH",70,1,5,3,2
"128","OH",64,1,NA,NA,2
"129","OH",58,1,5,2,1
"130","OH",72,1,5,1,3
"131","OH",57,1,5,2,2
"132","OH",71,1,5,1,3
"133","OH",81,1,5,1,3
"134","OH",72,1,5,1,2
"135","OH",64,1,5,1,3
"136","OH",75,1,NA,NA,3
"137","OH",71,1,5,2,2
"138","OH",64,1,5,2,2
"139","OH",76,1,5,1,2
"140","OH",85,1,5,3,3
"141","OH",86,1,5,3,3
"142","OH",80,1,5,3,3
"143","OH",71,1,5,2,2
"144","OH",72,2,NA,NA,NA
"145","OH",70,1,5,3,2
"146","OH",56,1,5,3,2
"147","OH",67,1,5,2,2
"148","OH",49,1,5,3,2
"149","OH",51,1,5,3,1
"150","OH",57,1,5,1,1
"151","OH",73,1,5,3,2
"152","OH",55,1,5,2,2
"153","OH",62,1,5,1,2
"154","OH",72,1,5,2,2
"155","OH",75,1,5,3,2
"156","OH",74,1,5,3,3
"157","OH",44,1,5,1,1
"158","OH",78,1,5,1,3
"159","OH",55,1,5,1,2
"160","OH",70,1,5,3,1
"161","OH",70,1,5,3,2
"162","OH",74,1,5,1,2
"163","OH",77,1,NA,NA,3
"164","OH",64,1,5,2,2
"165","OH",69,1,5,1,3
"166","OH",60,1,5,1,2
"167","OH",45,1,NA,NA,3
"168","OH",64,1,5,2,2
"169","OH",74,1,5,1,2
"170","OH",54,1,5,1,1
"171","OH",54,1,5,1,1
"172","OH",74,1,5,1,2
"173","OH",55,1,5,3,3
"174","OH",73,1,5,2,2
"175","OH",70,1,5,2,2
"176","OH",67,1,5,3,1
"177","OH",55,1,5,3,3
"178","OH",53,1,5,1,1
"179","OH",65,1,5,3,3
"180","OH",82,1,5,3,2
"181","OH",67,1,5,3,2
"182","OH",56,2,NA,NA,NA
"183","OH",43,1,5,3,1
"184","OH",80,1,5,3,1
"185","OH",67,1,5,3,3
"186","OH",68,1,5,1,2
"187","OH",83,1,5,3,3
"188","OH",80,1,5,1,1
"189","OH",71,1,5,1,3
"190","OH",70,1,5,1,2
"191","OH",68,1,5,3,1
"192","OH",79,1,5,3,1
"193","OH",48,1,5,1,1
"194","OH",72,1,5,1,2
"195","OH",67,1,5,1,3
"196","OH",70,1,5,3,2
"197","OH",68,1,5,1,3
"198","OH",47,1,5,3,3
"199","OH",64,1,5,1,3
"200","OH",61,1,5,3,2
"201","OH",72,1,5,3,2
"202","OH",78,1,5,1,3
"203","OH",45,1,5,1,3
"204","OH",63,1,5,1,2
"205","OH",51,1,5,1,1
"206","OH",81,1,5,1,2
"207","OH",35,2,NA,NA,NA
"208","OH",64,1,5,1,1
"209","OH",85,1,5,3,3
"210","OH",81,1,5,1,3
"211","OH",79,1,5,1,3
"212","OH",73,1,5,2,3
"213","OH",60,2,NA,NA,NA
"214","OH",41,1,5,1,3
"215","OH",71,1,5,1,2
"216","OH",77,1,5,2,2
"217","OH",73,1,5,3,3
"218","OH",70,1,5,1,1
"219","OH",70,1,5,2,3
"220","OH",59,1,5,1,3
"221","OH",79,1,5,3,3
"222","OH",55,2,NA,NA,NA
"223","OH",69,1,5,1,1
"224","OH",90,1,5,1,1
"225","OH",76,1,5,1,3
"226","OH",66,1,5,3,3
"227","OH",69,1,5,2,2
"228","OH",67,1,5,1,3
"229","OH",70,1,5,3,2
"230","OH",42,1,5,1,2
"231","OH",73,1,5,2,3
"232","OH",66,1,5,1,2
"233","OH",72,1,5,2,2
"234","OH",77,1,5,1,3
"235","OH",62,1,5,1,2
"236","OH",60,1,5,1,3
"237","OH",60,1,5,3,2
"238","OH",63,1,5,2,2
"239","OH",63,1,5,1,3
"240","OH",80,1,5,1,2
"241","OH",75,1,5,2,3
"242","OH",47,1,5,1,3
"243","OH",60,1,5,3,3
"244","OH",74,1,5,1,1
"245","OH",81,1,NA,NA,3
"246","OH",45,1,5,1,1
"247","OH",71,1,5,2,2
"248","OH",70,1,5,1,3
"249","OH",74,1,5,1,3
"250","OH",60,1,5,1,2
"251","OH",71,1,5,1,1
"252","OH",69,1,5,3,1
"253","OH",70,1,5,2,3
"254","OH",80,1,5,2,1
"255","OH",46,1,5,1,3
"256","OH",81,1,5,3,3
"257","OH",64,1,5,3,3
"258","OH",71,1,5,1,3
"259","OH",74,1,5,2,3
"260","OH",63,1,5,3,2
"261","OH",72,1,5,1,3
"262","OH",74,1,5,2,2
"263","OH",72,1,NA,NA,3
"264","OH",89,1,5,3,1
"265","OH",70,1,5,1,3
"266","OH",55,2,NA,NA,NA
"267","OH",56,1,5,1,1
"268","OH",70,1,5,3,3
"269","OH",64,1,5,1,3
"270","OH",76,1,5,1,3
"271","OH",59,1,5,2,2
"272","OH",79,1,5,1,1
"273","OH",65,1,5,1,2
"274","OH",62,1,5,3,2
"275","OH",76,1,5,2,1
"276","OH",74,1,NA,NA,3
"277","OH",86,1,5,3,2
"278","OH",50,1,5,1,3
"279","OH",54,1,5,3,2
"280","OH",69,1,5,1,2
"281","OH",73,1,5,2,3
"282","OH",84,1,5,1,3
"283","OH",81,1,NA,NA,2
"284","OH",46,1,NA,NA,3
"285","OH",61,1,5,3,2
"286","OH",57,1,5,2,3
"287","OH",72,1,5,2,2
"288","OH",69,1,5,3,1
"289","OH",76,1,5,3,1
"290","OH",64,1,5,2,2
"291","OH",54,1,5,1,1
"292","OH",70,1,5,1,3
