"","inputstate","votereg","age","party_ID","askvote","vote_method"
"1",39,1,25,1,5,3
"2",39,1,58,3,5,1
"3",39,1,81,2,5,1
"4",39,1,30,4,5,3
"5",39,1,50,1,5,3
"6",39,1,30,1,1,NA
"7",39,1,34,4,3,NA
"8",39,1,41,1,5,3
"9",39,1,75,1,5,2
"10",39,1,51,2,5,1
"11",39,1,59,3,4,1
"12",39,1,68,3,5,1
"13",39,1,30,1,5,3
"14",39,1,46,1,5,1
"15",39,1,85,2,5,3
"16",39,1,66,4,5,3
"17",39,1,48,3,5,2
"18",39,1,65,1,5,2
"19",39,1,81,3,5,1
"20",39,1,53,2,5,1
"21",39,1,68,1,5,2
"22",39,1,60,2,5,1
"23",39,1,61,3,5,1
"24",39,1,81,1,5,2
"25",39,1,68,NA,NA,NA
"26",39,1,47,1,5,1
"27",39,1,54,1,5,1
"28",39,1,57,4,5,1
"29",39,1,52,2,5,1
"30",39,1,50,1,5,1
"31",39,1,52,3,5,3
"32",39,1,29,2,2,NA
"33",39,1,73,3,5,1
"34",39,1,67,2,5,3
"35",39,1,64,1,5,3
"36",39,1,65,2,5,3
"37",39,1,51,1,5,1
"38",39,3,68,1,3,NA
"39",39,1,54,3,5,1
"40",39,1,57,3,5,1
"41",39,1,26,2,5,1
"42",39,1,33,1,5,1
"43",39,1,58,2,5,1
"44",39,2,41,NA,NA,NA
"45",39,1,63,1,5,1
"46",39,1,50,1,5,1
"47",39,1,45,3,5,1
"48",39,1,26,1,5,1
"49",39,1,60,3,5,3
"50",39,1,44,1,5,3
"51",39,1,27,2,5,1
"52",39,2,44,NA,NA,NA
"53",39,1,53,1,5,2
"54",39,1,60,3,5,2
"55",39,1,83,4,5,3
"56",39,1,68,1,3,NA
"57",39,1,76,1,5,1
"58",39,1,58,3,5,1
"59",39,1,49,1,5,3
"60",39,1,76,1,5,2
"61",39,1,57,4,5,3
"62",39,1,78,2,5,1
"63",39,1,59,1,5,2
"64",39,1,65,2,5,3
"65",39,1,68,3,5,1
"66",39,1,86,2,5,1
"67",39,1,71,3,5,3
"68",39,1,63,2,5,1
"69",39,1,66,1,5,1
"70",39,1,68,3,5,3
"71",39,1,63,4,5,1
"72",39,1,74,1,5,2
"73",39,1,69,1,5,2
