"","X","age","voted","party","registered","method_vote"
"1",1,57,"yes","Democrat","Yes","In person early"
"2",2,24,"yes","Independent","Yes","Voted by mail or absentee"
"3",3,50,"yes","Democrat","Yes","In person on election day"
"4",4,59,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"5",5,35,"yes","Democrat","Yes","In person on election day"
"6",6,41,"yes","Democrat","Yes","In person on election day"
"7",7,45,"yes","Independent","Yes","In person on election day"
"8",8,61,"yes","Republican","Yes","In person on election day"
"9",9,57,"yes","Democrat","Yes","In person early"
"10",10,52,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"11",11,53,"yes","Democrat","Yes","In person on election day"
"12",12,53,"yes","Independent","Yes","In person on election day"
"13",13,83,"yes","Republican","Yes","In person on election day"
"14",14,61,"yes","Democrat","Yes","Voted by mail or absentee"
"15",15,60,"yes","Independent","Yes","In person on election day"
"16",16,45,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"17",17,41,"yes","Independent","Yes","In person on election day"
"18",18,30,"yes","Democrat","Yes","Voted by mail or absentee"
"19",19,77,"yes","Democrat","Yes","Voted by mail or absentee"
"20",20,73,"yes","Democrat","Yes","Voted by mail or absentee"
"21",21,75,"yes","Republican","Yes","Voted by mail or absentee"
"22",22,61,"yes","Independent","Yes","In person on election day"
"23",23,35,"yes","Democrat","Yes","In person on election day"
"24",24,79,"yes","Republican","Yes","In person early"
"25",25,68,"yes","Democrat","Yes","In person early"
"26",26,73,"yes","Independent","Yes","Voted by mail or absentee"
"27",27,58,"yes","Independent","Yes","Voted by mail or absentee"
"28",28,70,"yes","Democrat","Yes","In person on election day"
"29",29,67,"yes","Independent","Yes","Voted by mail or absentee"
"30",30,59,"no","Independent","Yes","In person on election day"
"31",31,59,"yes","Independent","Yes","In person on election day"
"32",32,69,"yes","Democrat","Yes","In person on election day"
"33",33,75,"yes","Independent","Yes","In person on election day"
"34",34,75,"no","Independent","Yes","Dontknow_skipped_notasked"
"35",35,70,"yes","Republican","Yes","In person on election day"
"36",36,69,"yes","Independent","Yes","Voted by mail or absentee"
"37",37,54,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"38",38,68,"yes","Republican","Yes","Voted by mail or absentee"
"39",39,59,"yes","Democrat","Yes","Voted by mail or absentee"
"40",40,77,"yes","Democrat","Yes","Voted by mail or absentee"
"41",41,92,"yes","Republican","Yes","In person on election day"
"42",42,79,"yes","Democrat","Yes","Voted by mail or absentee"
"43",43,59,"yes","Independent","Yes","In person early"
"44",44,54,"yes","Democrat","Yes","In person on election day"
"45",45,74,"yes","Republican","Yes","In person on election day"
"46",46,54,"yes","Independent","Yes","In person early"
"47",47,56,"yes","Independent","Yes","In person on election day"
"48",48,67,"yes","Independent","Yes","Voted by mail or absentee"
"49",49,67,"yes","Republican","Yes","In person on election day"
"50",50,65,"yes","Democrat","Yes","In person on election day"
"51",51,93,"yes","Republican","Yes","Voted by mail or absentee"
"52",52,74,"yes","Republican","Yes","In person on election day"
"53",53,58,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"54",54,72,"yes","Republican","Yes","In person on election day"
"55",55,59,"yes","Republican","Yes","Voted by mail or absentee"
"56",56,64,"yes","Independent","Yes","Voted by mail or absentee"
"57",57,68,"yes","Independent","Yes","Voted by mail or absentee"
"58",58,76,"yes","Democrat","Yes","In person on election day"
"59",59,71,"yes","Democrat","Yes","Voted by mail or absentee"
"60",60,51,"yes","Republican","Yes","In person on election day"
"61",61,72,"yes","Democrat","Yes","Voted by mail or absentee"
"62",62,82,"yes","Republican","Yes","In person early"
"63",63,77,"yes","Republican","Yes","In person on election day"
