weight,age,voted,party,registered,method_vote
0.225624910197905,57,yes,Democrat,Yes,In person early
0.232198670504207,24,yes,Republican,Yes,In person on election day
0.108021634212665,50,yes,Independent,Yes,In person early
0.252429714692988,59,NAorMissing,NAorMissing,Yes,In person early
1.95879264234531,35,yes,Independent,Yes,In person early
1.38273499258154,41,yes,Independent,Yes,In person early
0.064650720790054,45,yes,Independent,Yes,In person on election day
0.950987807293354,61,yes,Independent,Yes,Voted by mail or absentee
0.796917800931692,57,yes,Democrat,Yes,In person early
0.200959433670264,52,NAorMissing,NAorMissing,Yes,In person early
0.980659418147418,53,yes,Independent,Yes,In person early
1.6849754018052,53,yes,Independent,Yes,In person on election day
0.212093220617098,83,yes,Independent,Yes,Voted by mail or absentee
0.510652852642594,61,yes,Republican,Yes,In person early
0.717816673745242,60,yes,Independent,Yes,In person on election day
0.115909106807044,45,NAorMissing,NAorMissing,No,Dontknow_skipped_notasked
8.40101053546412,41,yes,Independent,Yes,In person on election day
0.859902544088585,30,yes,Republican,Yes,In person early
0.180201935990392,77,yes,Republican,Yes,In person early
1.25733167638621,73,yes,Republican,Yes,In person early
0.191993633111679,75,yes,Republican,Yes,Voted by mail or absentee
0.811650111207424,61,yes,Independent,Yes,In person on election day
1.52982393036609,35,yes,Independent,Yes,In person early
0.589397277346433,79,yes,Democrat,Yes,Voted by mail or absentee
0.189365579715731,68,yes,Democrat,Yes,In person early
0.762730667429305,73,yes,Republican,Yes,In person on election day
0.641514912932874,58,yes,Republican,Yes,In person on election day
0.890644941428989,70,yes,Independent,Yes,In person early
0.64652904296694,67,yes,Republican,Yes,In person on election day
0.562026768697336,59,no,Independent,Yes,In person on election day
0.715371803484107,59,yes,Independent,Yes,In person on election day
0.265896253588818,69,yes,Independent,Yes,In person early
1.77068560015501,75,yes,Independent,Yes,In person on election day
0.322415838809334,75,no,NAorMissing,Yes,In person on election day
0.629495076816916,70,yes,Independent,Yes,Voted by mail or absentee
0.411256305672036,69,yes,Republican,Yes,In person on election day
0.286996119626652,54,NAorMissing,NAorMissing,Yes,Voted by mail or absentee
1.04174982387491,68,yes,Republican,Yes,Voted by mail or absentee
0.398707426723864,59,yes,Republican,Yes,In person early
0.720687683969443,77,yes,Republican,Yes,In person early
0.206007271136738,92,yes,Independent,Yes,Voted by mail or absentee
0.550641882264122,79,yes,Republican,Yes,In person early
0.237893204268154,59,yes,Democrat,Yes,In person on election day
0.578643168718601,54,yes,Independent,Yes,In person early
0.310740790208858,74,yes,Independent,Yes,Voted by mail or absentee
1.2000564139499,54,yes,Democrat,Yes,In person on election day
2.43237817334213,56,yes,Independent,Yes,In person on election day
0.225976075851434,67,yes,Republican,Yes,In person on election day
0.622485970617735,67,yes,Independent,Yes,Voted by mail or absentee
0.234779440285427,65,yes,Independent,Yes,In person early
0.394366991237347,93,yes,Republican,Yes,Voted by mail or absentee
0.681914525871943,74,yes,Independent,Yes,Voted by mail or absentee
0.425445776868495,58,NAorMissing,NAorMissing,Yes,In person on election day
0.527212426764241,72,yes,Independent,Yes,Voted by mail or absentee
1.1246238442869,59,yes,Republican,Yes,Voted by mail or absentee
1.06028661367874,64,yes,Republican,Yes,In person on election day
0.665903646852359,68,yes,Republican,Yes,In person on election day
0.75654515694863,76,yes,Independent,Yes,In person early
0.401501190657656,71,yes,Republican,Yes,In person early
0.993416375830822,51,yes,Independent,Yes,Voted by mail or absentee
0.355150189947017,72,yes,Republican,Yes,In person early
0.226381246435769,82,yes,Democrat,Yes,Voted by mail or absentee
0.420934204165872,77,yes,Independent,Yes,Voted by mail or absentee
0.515527475358707,58,yes,Republican,Yes,In person early
0.643158951778124,81,yes,Independent,Yes,In person on election day
0.206007271136738,71,yes,Republican,Yes,Voted by mail or absentee
0.668598271039616,69,yes,Republican,Yes,In person early
0.811650111207424,61,yes,Independent,Yes,In person early
0.595427461659562,59,yes,Democrat,Yes,In person early
0.791490682954884,46,no,NAorMissing,Yes,In person early
0.329076818642192,71,yes,Independent,Yes,In person early
0.114421068645349,67,yes,Independent,Yes,In person early
1.18330949215224,92,yes,Democrat,Yes,Voted by mail or absentee
0.0681967280762557,57,NAorMissing,NAorMissing,Yes,In person on election day
1.25733167638621,78,yes,Republican,Yes,Voted by mail or absentee
1.38317274542486,60,yes,Republican,Yes,Voted by mail or absentee
0.393877639651826,63,yes,Independent,Yes,In person on election day
0.383050752187326,80,yes,Republican,Yes,In person on election day
0.823375431869422,65,yes,Independent,Yes,In person on election day
0.632379386449514,66,yes,Independent,Yes,Voted by mail or absentee
0.826383895821681,58,no,Other,Yes,In person on election day
0.191993633111679,74,yes,Independent,Yes,Voted by mail or absentee
2.32812193472243,24,yes,Republican,Yes,In person early
0.759322316809432,73,yes,Independent,Yes,Voted by mail or absentee
0.775970300877097,53,yes,Independent,Yes,In person early
2.54923990124812,49,yes,Independent,Yes,Voted by mail or absentee
0.101276740374247,74,no,NAorMissing,DontKnow,Dontknow_skipped_notasked
0.430440022641163,76,yes,Republican,Yes,Voted by mail or absentee
0.356993737030726,82,yes,Independent,Yes,Voted by mail or absentee
0.500564549517585,65,NAorMissing,NAorMissing,Yes,Dontknow_skipped_notasked
0.727162732310494,79,yes,Republican,Yes,In person early
1.15628135328029,86,yes,Independent,Yes,Voted by mail or absentee
0.764829601923583,60,NAorMissing,NAorMissing,Yes,In person on election day
1.5618012867235,55,yes,Independent,Yes,In person on election day
0.226381246435769,79,yes,Independent,Yes,Voted by mail or absentee
0.446162480054557,85,yes,Republican,Yes,Voted by mail or absentee
5.31695580153836,45,yes,Independent,Yes,In person early
0.10769300650552,70,yes,Democrat,Yes,In person early
0.552825738459078,61,yes,Independent,Yes,Voted by mail or absentee
0.272132586911361,75,yes,Democrat,Yes,In person early
0.759322316809432,70,yes,Republican,Yes,In person on election day
0.387074063601443,73,yes,Independent,Yes,In person on election day
0.755573878536819,48,yes,Democrat,Yes,In person on election day
0.383050752187326,71,yes,Republican,Yes,Voted by mail or absentee
0.662469049348634,64,yes,Independent,Yes,In person early
0.369028453433304,84,yes,Democrat,Yes,Dontknow_skipped_notasked
0.447832789025526,75,yes,Independent,Yes,Voted by mail or absentee
0.96460850339439,72,yes,Democrat,Yes,In person on election day
0.191145140379481,75,NAorMissing,NAorMissing,Yes,Voted by mail or absentee
0.206007271136738,85,yes,Independent,Yes,Voted by mail or absentee
0.387074063601443,82,yes,Republican,Yes,Voted by mail or absentee
0.944550670771872,55,yes,Independent,Yes,In person early
0.427261728303512,76,yes,Republican,Yes,Voted by mail or absentee
0.0938751995933017,77,yes,Independent,Yes,Voted by mail or absentee
1.35411793640366,49,yes,Independent,Yes,Voted by mail or absentee
1.18373889929148,44,yes,Independent,Yes,Voted by mail or absentee
0.589397277346433,71,yes,Republican,Yes,Voted by mail or absentee
0.822509343164864,73,yes,Independent,Yes,In person early
0.725655968382795,54,yes,Other,Yes,In person on election day
0.966457869249166,45,yes,Independent,Yes,Voted by mail or absentee
0.0514789696770857,67,yes,Republican,Yes,In person on election day
0.474538248487753,27,yes,Independent,Yes,In person early
1.71706190396151,71,yes,Republican,Yes,Voted by mail or absentee
0.69393481868482,53,yes,Republican,Yes,In person early
0.46580490681188,57,yes,Democrat,Yes,Voted by mail or absentee
2.54851025441022,40,yes,Independent,Yes,Voted by mail or absentee
0.242548187738264,70,yes,Republican,Yes,In person early
0.0793407545944127,64,NAorMissing,NAorMissing,Yes,In person early
0.999806605631574,58,yes,Democrat,Yes,In person on election day
0.191993633111679,72,yes,Independent,Yes,Voted by mail or absentee
0.544839988213788,57,yes,Democrat,Yes,In person early
0.840752614579707,71,yes,Independent,Yes,Voted by mail or absentee
0.138104487160396,81,yes,Independent,Yes,Voted by mail or absentee
0.615912851472839,72,yes,Independent,Yes,In person early
0.701911170391254,64,yes,Independent,Yes,Voted by mail or absentee
0.300483511694429,75,NAorMissing,NAorMissing,Yes,Voted by mail or absentee
1.82903357628323,71,yes,Democrat,Yes,In person early
0.349635714307234,64,yes,Democrat,Yes,In person early
0.10769300650552,76,yes,Independent,Yes,In person early
0.251560393835326,85,yes,Republican,Yes,Voted by mail or absentee
0.10769300650552,86,yes,Republican,Yes,Voted by mail or absentee
0.191993633111679,80,yes,Republican,Yes,Voted by mail or absentee
0.152829021525729,71,yes,Democrat,Yes,In person early
0.38232724898899,72,NAorMissing,NAorMissing,No,Dontknow_skipped_notasked
0.342634942730088,70,yes,Republican,Yes,In person early
0.449148769214787,56,yes,Republican,Yes,In person early
0.93243329017955,67,yes,Democrat,Yes,In person early
1.7939919678085,49,yes,Republican,Yes,In person early
1.05350982797048,51,yes,Republican,Yes,In person on election day
0.831057370788311,57,yes,Independent,Yes,In person on election day
0.272132586911361,73,yes,Republican,Yes,In person early
0.577661598011985,55,yes,Democrat,Yes,In person early
0.605954234056036,62,yes,Independent,Yes,In person early
0.250261313817035,72,yes,Democrat,Yes,In person early
0.105084811482792,75,yes,Republican,Yes,In person early
